lambda,strategy,error,pnl,cost
0.0005,bellman_dp_costs_adaptive,0.984708915849879,0.984708915849879,0.06889378436197231
0.0005,bellman_dp_costs_adaptive,-0.3804176092593252,-0.3804176092593252,0.08904220781527636
0.0005,bellman_dp_costs_adaptive,-1.0232214086894231,-1.0232214086894231,0.11998216107718186
0.0005,bellman_dp_costs_adaptive,-1.1180297712029983,-1.1180297712029983,0.045428910477237135
0.0005,bellman_dp_costs_adaptive,-6.848568410658302,-6.848568410658302,0.1331080256369549
0.0005,bellman_dp_costs_adaptive,3.546344903876621,3.546344903876621,0.07440538643758163
0.0005,bellman_dp_costs_adaptive,-0.9720992887093729,-0.9720992887093729,0.04114237998332634
0.0005,bellman_dp_costs_adaptive,-0.2115916770384132,-0.2115916770384132,0.045346381089930055
0.0005,bellman_dp_costs_adaptive,1.5327951629887693,1.5327951629887693,0.10332082551271946
0.0005,bellman_dp_costs_adaptive,1.6132864386261048,1.6132864386261048,0.06617926261037183
0.0005,bellman_dp_costs_adaptive,1.378554900371526,1.378554900371526,0.0882889951626354
0.0005,bellman_dp_costs_adaptive,-3.967580380188636,-3.967580380188636,0.0736327749709555
0.0005,bellman_dp_costs_adaptive,4.683217853020585,4.683217853020585,0.06082576210321086
0.0005,bellman_dp_costs_adaptive,-6.0833063095607685,-6.0833063095607685,0.05668705894765204
0.0005,bellman_dp_costs_adaptive,-0.8169219750639458,-0.8169219750639458,0.05559204360006226
0.0005,bellman_dp_costs_adaptive,-4.002241245693526,-4.002241245693526,0.06312308881850202
0.0005,bellman_dp_costs_adaptive,-5.051570648128916,-5.051570648128916,0.05105593669228094
0.0005,bellman_dp_costs_adaptive,-8.726528970803983,-8.726528970803983,0.09239305472024706
0.0005,bellman_dp_costs_adaptive,-0.2586425768597991,-0.2586425768597991,0.06436077654022078
0.0005,bellman_dp_costs_adaptive,-2.0131130787961666,-2.0131130787961666,0.0708069818787664
0.0005,bellman_dp_costs_adaptive,-3.249066039434922,-3.249066039434922,0.08877425245188535
0.0005,bellman_dp_costs_adaptive,-1.7172089891395323,-1.7172089891395323,0.06393858052359119
0.0005,bellman_dp_costs_adaptive,-1.038514899028729,-1.038514899028729,0.05523366967512635
0.0005,bellman_dp_costs_adaptive,-0.4366695345945715,-0.4366695345945715,0.06625013998266248
0.0005,bellman_dp_costs_adaptive,-6.029083806753739,-6.029083806753739,0.0905710647252144
