lambda,time_index,t,S,hold_fraction,buy_fraction,sell_fraction,hold_width_q
0.002,1,0.0625,88.62915570681062,0.019286403085824494,0.4792671166827387,0.5014464802314368,0.0030737704918032786
0.002,1,0.0625,92.01543416959255,0.01832208293153327,0.5168756027000965,0.4648023143683703,0.0020491803278688526
0.002,1,0.0625,95.26417661238666,0.022179363548698167,0.5313404050144648,0.446480231436837,0.0030737704918032786
0.002,1,0.0625,100.0,0.01639344262295082,0.5564127290260367,0.42719382835101255,0.0
0.002,1,0.0625,101.59235973731411,0.01639344262295082,0.562198649951784,0.4214079074252652,0.0
0.002,1,0.0625,104.76646316410954,0.020250723240115717,0.6055930568948891,0.3741562198649952,0.0
0.002,1,0.0625,108.00359056176528,0.022179363548698167,0.5998071359691417,0.3780135004821601,0.0
0.002,1,0.0625,111.34667556232345,0.01639344262295082,0.6239151398264223,0.35969141755062684,0.0
0.002,1,0.0625,114.84323844475158,0.01832208293153327,0.6432015429122468,0.33847637415621984,0.0
0.002,1,0.0625,118.54919016105582,0.01639344262295082,0.6432015429122468,0.3404050144648023,0.0
0.002,1,0.0625,122.5337383187385,0.011571841851494697,0.5477338476374156,0.4406943105110897,0.0
0.002,1,0.0625,126.88621285797235,0.011571841851494697,0.532304725168756,0.4561234329797493,0.0
0.002,1,0.0625,131.72587324717543,0.008678881388621022,0.5313404050144648,0.45998071359691417,0.0
0.002,1,0.0625,137.2158034674972,0.006750241080038573,0.5544840887174542,0.43876567020250723,0.0
0.002,1,0.0625,143.5806192876206,0.008678881388621022,0.5641272902603665,0.42719382835101255,0.0
0.002,1,0.0625,151.12090748822354,0.008678881388621022,0.5679845708775313,0.42333654773384766,0.0
0.002,1,0.0625,160.19579252839088,0.007714561234329798,0.6248794599807136,0.3674059787849566,0.0
0.002,1,0.0625,171.10911494738463,0.0057859209257473485,0.6451301832208293,0.3490838958534233,0.0
0.002,1,0.0625,183.87445188001587,0.0057859209257473485,0.6779170684667309,0.3162970106075217,0.0
0.002,1,0.0625,198.08575235040416,0.008678881388621022,0.6730954676952748,0.31822565091610416,0.0
0.002,1,0.0625,213.1554219136412,0.006750241080038573,0.7251687560270009,0.26808100289296044,0.0
0.002,1,0.0625,228.63459156755098,0.007714561234329798,0.7299903567984571,0.26229508196721313,0.0
0.002,1,0.0625,244.28426426841278,0.010607521697203472,0.7261330761812922,0.26325940212150434,0.0
