lambda,t,S,alive,barrier_price,barrier_delta,european_delta,bellman_position,knockout_probability_next_step
0.0005,0.5,150.0,1,51.00335009665996,0.9991765239783605,0.9986872641547745,0.7944378762601443,0.0
0.0005,0.75,80.8,1,0.03354140137893207,0.0461423748533002,0.02108025986815088,0.016859111959978385,0.9803929514500063
0.0005,0.75,84.0,1,0.19654612602733587,0.047101657578814,0.05013626163466188,0.058314504399586686,0.6212038289467053
0.0005,0.75,100.0,1,3.821301303084007,0.5345796265272045,0.539827837277029,0.05998550415238734,4.731851513262164e-05
0.0005,0.75,120.0,1,20.670219378995885,0.9754711805101156,0.9727735085402499,0.689159431561894,5.218048215738236e-15
0.0005,0.75,150.0,1,50.49875208073177,1.0000000000000036,0.9999837107850342,0.7895873453750946,0.0
0.002,0.0,80.8,1,0.2809005939099728,0.3437606543467178,0.1932543756017301,0.016019427859446767,0.9803929514500063
0.002,0.0,84.0,1,1.4552877830355522,0.38067928073196494,0.2508660405843025,0.04303323017037436,0.6212038289467053
0.002,0.0,100.0,1,8.671585051062163,0.5803993669650065,0.579259709439103,0.45500653754461223,4.731851513262164e-05
0.002,0.0,120.0,1,23.81001111025674,0.8626092937136265,0.8668465878618943,0.634468308642165,5.218048215738236e-15
0.002,0.0,150.0,1,52.079001971669044,0.9815355731726697,0.9870372376141964,0.9713257877753587,0.0
0.002,0.5,80.8,1,0.11959387652413028,0.1539633049385135,0.08595655674509295,0.016566998719910513,0.9803929514500063
0.002,0.5,84.0,1,0.6776000747862304,0.17731321509452982,0.1375389412784963,0.05247445193997214,0.6212038289467053
0.002,0.5,100.0,1,5.849051290698209,0.5525836664714819,0.5562314580091424,0.09010067302799003,4.731851513262164e-05
0.002,0.5,120.0,1,21.683613755138854,0.9211322654869596,0.9237317784534831,0.6932970996532288,5.218048215738236e-15
0.002,0.5,150.0,1,51.00335009665996,0.9991765239783605,0.9986872641547745,0.9713257877753587,0.0
0.002,0.75,80.8,1,0.03354140137893207,0.0461423748533002,0.02108025986815088,0.016859111959978385,0.9803929514500063
0.002,0.75,84.0,1,0.19654612602733587,0.047101657578814,0.05013626163466188,0.058314504399586686,0.6212038289467053
0.002,0.75,100.0,1,3.821301303084007,0.5345796265272045,0.539827837277029,0.05998550415238734,4.731851513262164e-05
0.002,0.75,120.0,1,20.670219378995885,0.9754711805101156,0.9727735085402499,0.689159431561894,5.218048215738236e-15
0.002,0.75,150.0,1,50.49875208073177,1.0000000000000036,0.9999837107850342,0.7895873453750946,0.0
0.01,0.0,80.8,1,0.2809005939099728,0.3437606543467178,0.1932543756017301,0.016019427859446767,0.9803929514500063
0.01,0.0,84.0,1,1.4552877830355522,0.38067928073196494,0.2508660405843025,0.04303323017037436,0.6212038289467053
0.01,0.0,100.0,1,8.671585051062163,0.5803993669650065,0.579259709439103,0.08885766357940901,4.731851513262164e-05
0.01,0.0,120.0,1,23.81001111025674,0.8626092937136265,0.8668465878618943,0.5902434850721499,5.218048215738236e-15
0.01,0.0,150.0,1,52.079001971669044,0.9815355731726697,0.9870372376141964,0.9713257877753587,0.0
0.01,0.5,80.8,1,0.11959387652413028,0.1539633049385135,0.08595655674509295,0.016566998719910513,0.9803929514500063
0.01,0.5,84.0,1,0.6776000747862304,0.17731321509452982,0.1375389412784963,0.05247445193997214,0.6212038289467053
0.01,0.5,100.0,1,5.849051290698209,0.5525836664714819,0.5562314580091424,0.08885766357940901,4.731851513262164e-05
0.01,0.5,120.0,1,21.683613755138854,0.9211322654869596,0.9237317784534831,0.6540717174614572,5.218048215738236e-15
0.01,0.5,150.0,1,51.00335009665996,0.9991765239783605,0.9986872641547745,0.9713257877753587,0.0
0.01,0.75,80.8,1,0.03354140137893207,0.0461423748533002,0.02108025986815088,0.0,0.9803929514500063
0.01,0.75,84.0,1,0.19654612602733587,0.047101657578814,0.05013626163466188,0.0,0.6212038289467053
0.01,0.75,100.0,1,3.821301303084007,0.5345796265272045,0.539827837277029,0.051357441081592736,4.731851513262164e-05
0.01,0.75,120.0,1,20.670219378995885,0.9754711805101156,0.9727735085402499,0.6523166735604573,5.218048215738236e-15
0.01,0.75,150.0,1,50.49875208073177,1.0000000000000036,0.9999837107850342,1.1530642301756229,0.0
