decision_date,decision_idx,estimation_start,estimation_end,window_observations,mu_hat,sigma_hat,rf_annual,gamma,w_star,w_long_only
2019-11-01,964,2017-10-31,2019-10-31,504,0.25344026517227325,0.27622882951803135,0.0152,3.0,1.040772725929821,1.0
2019-11-01,964,2017-10-31,2019-10-31,504,0.25344026517227325,0.27622882951803135,0.0152,5.0,0.6244636355578925,0.6244636355578925
2019-12-02,984,2017-11-29,2019-11-29,504,0.2702065855140362,0.27588041558389115,0.016,1.5,2.226659424052233,1.0
2019-12-02,984,2017-11-29,2019-11-29,504,0.2702065855140362,0.27588041558389115,0.016,3.0,1.1133297120261165,1.0
2019-12-02,984,2017-11-29,2019-11-29,504,0.2702065855140362,0.27588041558389115,0.016,5.0,0.66799782721567,0.66799782721567
2020-01-02,1005,2017-12-29,2019-12-31,504,0.32313960293393085,0.27605598895933636,0.0154,1.5,2.6921408816193755,1.0
2020-01-02,1005,2017-12-29,2019-12-31,504,0.32313960293393085,0.27605598895933636,0.0154,3.0,1.3460704408096877,1.0
2020-01-02,1005,2017-12-29,2019-12-31,504,0.32313960293393085,0.27605598895933636,0.0154,5.0,0.8076422644858127,0.8076422644858127
2020-02-03,1026,2018-01-31,2020-01-31,504,0.3626515608421679,0.2798429990257098,0.015700000000000002,1.5,2.9535796951024196,1.0
2020-02-03,1026,2018-01-31,2020-01-31,504,0.3626515608421679,0.2798429990257098,0.015700000000000002,3.0,1.4767898475512098,1.0
2020-02-03,1026,2018-01-31,2020-01-31,504,0.3626515608421679,0.2798429990257098,0.015700000000000002,5.0,0.8860739085307258,0.8860739085307258
2020-03-02,1045,2018-02-28,2020-02-28,504,0.2672511833233957,0.28207880279477704,0.0113,1.5,2.1444947099112333,1.0
2020-03-02,1045,2018-02-28,2020-02-28,504,0.2672511833233957,0.28207880279477704,0.0113,3.0,1.0722473549556166,1.0
2020-03-02,1045,2018-02-28,2020-02-28,504,0.2672511833233957,0.28207880279477704,0.0113,5.0,0.64334841297337,0.64334841297337
2020-04-01,1067,2018-04-02,2020-03-31,504,0.28273722829155273,0.3486206035018541,0.0009,1.5,1.5459697768560645,1.0
2020-04-01,1067,2018-04-02,2020-03-31,504,0.28273722829155273,0.3486206035018541,0.0009,3.0,0.7729848884280323,0.7729848884280323
2020-04-01,1067,2018-04-02,2020-03-31,504,0.28273722829155273,0.3486206035018541,0.0009,5.0,0.4637909330568194,0.4637909330568194
2020-05-01,1088,2018-05-01,2020-04-30,504,0.3659070136679683,0.3582161612793921,0.0012,1.5,1.8947961999596672,1.0
2020-05-01,1088,2018-05-01,2020-04-30,504,0.3659070136679683,0.3582161612793921,0.0012,3.0,0.9473980999798336,0.9473980999798336
2020-05-01,1088,2018-05-01,2020-04-30,504,0.3659070136679683,0.3582161612793921,0.0012,5.0,0.5684388599879002,0.5684388599879002
2020-06-01,1108,2018-05-30,2020-05-29,504,0.3402966671092376,0.35730866876007905,0.0014000000000000002,1.5,1.7696563263432366,1.0
2020-06-01,1108,2018-05-30,2020-05-29,504,0.3402966671092376,0.35730866876007905,0.0014000000000000002,3.0,0.8848281631716183,0.8848281631716183
2020-06-01,1108,2018-05-30,2020-05-29,504,0.3402966671092376,0.35730866876007905,0.0014000000000000002,5.0,0.530896897902971,0.530896897902971
2020-07-01,1130,2018-06-29,2020-06-30,504,0.41730464172644793,0.36241414629984214,0.0014000000000000002,1.5,2.111019405397831,1.0
2020-07-01,1130,2018-06-29,2020-06-30,504,0.41730464172644793,0.36241414629984214,0.0014000000000000002,3.0,1.0555097026989155,1.0
2020-07-01,1130,2018-06-29,2020-06-30,504,0.41730464172644793,0.36241414629984214,0.0014000000000000002,5.0,0.6333058216193492,0.6333058216193492
2020-08-03,1152,2018-08-01,2020-07-31,504,0.48436014335917726,0.37163810501640276,0.001,1.5,2.3331308907911614,1.0
2020-08-03,1152,2018-08-01,2020-07-31,504,0.48436014335917726,0.37163810501640276,0.001,3.0,1.1665654453955807,1.0
2020-08-03,1152,2018-08-01,2020-07-31,504,0.48436014335917726,0.37163810501640276,0.001,5.0,0.6999392672373485,0.6999392672373485
2020-09-01,1173,2018-08-30,2020-08-31,504,0.5023791481581125,0.37436885773158096,0.0012,1.5,2.383978343786326,1.0
2020-09-01,1173,2018-08-30,2020-08-31,504,0.5023791481581125,0.37436885773158096,0.0012,3.0,1.191989171893163,1.0
2020-09-01,1173,2018-08-30,2020-08-31,504,0.5023791481581125,0.37436885773158096,0.0012,5.0,0.7151935031358977,0.7151935031358977
2020-10-01,1194,2018-10-01,2020-09-30,504,0.4475022022228603,0.3884221106295323,0.0009,1.5,1.9734299433711946,1.0
2020-10-01,1194,2018-10-01,2020-09-30,504,0.4475022022228603,0.3884221106295323,0.0009,3.0,0.9867149716855973,0.9867149716855973
2020-10-01,1194,2018-10-01,2020-09-30,504,0.4475022022228603,0.3884221106295323,0.0009,5.0,0.5920289830113583,0.5920289830113583
