lambda,frequency,strategy,band,rmse,mae,pnl_mean,pnl_q01,pnl_q05,pnl_q50,pnl_q95,pnl_q99,mean_total_cost,mean_turnover,mean_n_rebalances,mse,eta,criterion_J
0.002,12,delta_bs,0.0,1.9980893497097223,1.5104184936380967,-0.35731587046633406,-5.878307132482451,-3.602464817388113,-0.3100318102591756,2.8121961341128383,4.280144502924979,0.32010746095524734,1.5873267392197816,11.9974,3.9923610494234207,1.0,4.312468510378668
0.002,12,no_trade_band,0.0,1.9980893497097223,1.5104184936380967,-0.35731587046633406,-5.878307132482451,-3.602464817388113,-0.3100318102591756,2.8121961341128383,4.280144502924979,0.32010746095524734,1.5873267392197816,11.9974,3.9923610494234207,1.0,4.312468510378668
0.002,12,no_trade_band,0.02,2.003100703253749,1.5162121582102595,-0.35737197692034506,-5.841768442903231,-3.6131371549480873,-0.31635795594091576,2.8165193335856755,4.274524862302878,0.316677773525386,1.5710755536000185,9.67215,4.012412427375664,1.0,4.32909020090105
0.002,12,no_trade_band,0.05,2.0359960798456957,1.548232635785041,-0.3542249674152462,-5.917477940083231,-3.678903910897218,-0.3048006387486364,2.838135364722738,4.300506364754624,0.3046083006107117,1.5123940916542464,7.6769,4.145280037147041,1.0,4.449888337757752
0.002,12,no_trade_band,0.1,2.192706350362676,1.6880834293288365,-0.3530941832290819,-6.059105653872112,-3.98798710684495,-0.29555055847792744,3.1030985623447003,4.578411305848314,0.2773225303195508,1.3778165415839838,5.3412,4.807961138920807,1.0,5.085283669240358
0.002,12,no_trade_band,0.2,2.9369130459564845,2.2868634356732844,-0.41958238786611074,-8.115955578749396,-5.3903636397337,-0.30170993014208447,4.1337735288366515,5.684411412434696,0.2271642806435853,1.1315595965018928,2.97025,8.625458239509395,1.0,8.85262252015298
0.002,12,optimized_no_trade_band,0.0,1.9980893497097223,1.5104184936380967,-0.35731587046633406,-5.878307132482451,-3.602464817388113,-0.3100318102591756,2.8121961341128383,4.280144502924979,0.32010746095524734,1.5873267392197816,11.9974,3.9923610494234207,1.0,4.312468510378668
0.002,26,delta_bs,0.0,1.428004462702025,1.0730599156277973,-0.4435060508214226,-4.26035739759566,-2.7110289779884575,-0.40850924765334895,1.7120295768147356,2.9227685620994697,0.4253121826272686,2.111873383251719,25.9243,2.039196745496899,1.0,2.4645089281241677
0.002,26,no_trade_band,0.0,1.428004462702025,1.0730599156277973,-0.4435060508214226,-4.26035739759566,-2.7110289779884575,-0.40850924765334895,1.7120295768147356,2.9227685620994697,0.4253121826272686,2.111873383251719,25.9243,2.039196745496899,1.0,2.4645089281241677
0.002,26,no_trade_band,0.02,1.4333864803017464,1.079729326345646,-0.4382348919337134,-4.24831147392019,-2.7253888280552836,-0.4023246838765786,1.737689140164971,2.924401743607832,0.41531424887647345,2.0640408793693448,18.44955,2.054596801911829,1.0,2.4699110507883026
