lambda,time,S,delta_bs,position_delta_bs,position_optimized,optimized_band
0.0,0.35317460317460314,96.37859519299941,0.47270680738546317,0.47270680738546317,0.47270680738546317,0.0
0.0,0.3571428571428571,97.60025493977815,0.5035431513154554,0.5035431513154554,0.5035431513154554,0.0
0.0,0.3611111111111111,97.4877818734328,0.5002805644113257,0.5002805644113257,0.5002805644113257,0.0
0.0,0.36507936507936506,98.08754248941554,0.5152341693180434,0.5152341693180434,0.5152341693180434,0.0
0.0,0.369047619047619,99.21796148622587,0.5435751988675982,0.5435751988675982,0.5435751988675982,0.0
0.0,0.373015873015873,100.52896179348767,0.5760028322451992,0.5760028322451992,0.5760028322451992,0.0
0.0,0.376984126984127,100.94942199071517,0.5861768511485389,0.5861768511485389,0.5861768511485389,0.0
0.0,0.38095238095238093,100.89473933146493,0.584713208486159,0.584713208486159,0.584713208486159,0.0
0.0,0.3849206349206349,100.46273532393835,0.5738901369136978,0.5738901369136978,0.5738901369136978,0.0
0.0,0.38888888888888884,99.54332072136624,0.5505578928525175,0.5505578928525175,0.5505578928525175,0.0
0.0,0.39285714285714285,98.36323811905423,0.5199151019206586,0.5199151019206586,0.5199151019206586,0.0
0.0,0.3968253968253968,98.83395733824356,0.5318090492052541,0.5318090492052541,0.5318090492052541,0.0
0.0,0.40079365079365076,98.55337370007057,0.5241982390504257,0.5241982390504257,0.5241982390504257,0.0
0.0,0.40476190476190477,96.12898966147569,0.4595563552263652,0.4595563552263652,0.4595563552263652,0.0
0.0,0.4087301587301587,95.96399710888207,0.45458164781642507,0.45458164781642507,0.45458164781642507,0.0
0.0,0.4126984126984127,97.28202122974076,0.48942343842550645,0.48942343842550645,0.48942343842550645,0.0
0.0,0.41666666666666663,96.96842933981779,0.48054697192137047,0.48054697192137047,0.48054697192137047,0.0
0.0,0.4206349206349206,94.75301955438229,0.4200328458191835,0.4200328458191835,0.4200328458191835,0.0
0.0,0.4246031746031746,94.62722698224084,0.4159337482041413,0.4159337482041413,0.4159337482041413,0.0
0.0,0.42857142857142855,95.59046637044453,0.44152518073155866,0.44152518073155866,0.44152518073155866,0.0
0.0,0.4325396825396825,95.85686883583622,0.44820482743305373,0.44820482743305373,0.44820482743305373,0.0
0.0,0.4365079365079365,95.36398519211075,0.4340586558814228,0.4340586558814228,0.4340586558814228,0.0
0.0,0.44047619047619047,97.6339557303629,0.4958296732630785,0.4958296732630785,0.4958296732630785,0.0
0.0,0.4444444444444444,100.02304322421878,0.5598609986727864,0.5598609986727864,0.5598609986727864,0.0
0.0,0.4484126984126984,99.92287596136666,0.5569905998221383,0.5569905998221383,0.5569905998221383,0.0
0.0,0.45238095238095233,100.97623503923397,0.5845874114714237,0.5845874114714237,0.5845874114714237,0.0
0.0,0.45634920634920634,101.50095956123684,0.5981234780195874,0.5981234780195874,0.5981234780195874,0.0
0.0,0.4603174603174603,102.52960668889372,0.6243604331979464,0.6243604331979464,0.6243604331979464,0.0
0.0,0.46428571428571425,104.44902965955943,0.671386439358212,0.671386439358212,0.671386439358212,0.0
0.0,0.46825396825396826,105.55906626710862,0.697350339421086,0.697350339421086,0.697350339421086,0.0
0.0,0.4722222222222222,105.70093565184573,0.7008634041664966,0.7008634041664966,0.7008634041664966,0.0
0.0,0.47619047619047616,104.85919421933214,0.6817311968813032,0.6817311968813032,0.6817311968813032,0.0
0.0,0.4801587301587301,103.81679142923805,0.6568792964460832,0.6568792964460832,0.6568792964460832,0.0
0.0,0.4841269841269841,103.80810694783503,0.656829057773958,0.656829057773958,0.656829057773958,0.0
0.0,0.4880952380952381,105.35903709680312,0.6942430458835334,0.6942430458835334,0.6942430458835334,0.0
0.0,0.49206349206349204,105.78388800400116,0.7043707365446662,0.7043707365446662,0.7043707365446662,0.0
0.0,0.496031746031746,105.87982946125416,0.7069135172953281,0.7069135172953281,0.7069135172953281,0.0
0.0,0.5,106.2488706367436,0.7156703097019246,0.7156703097019246,0.7156703097019246,0.0
0.0,0.503968253968254,106.32203892013594,0.7177136828154329,0.7177136828154329,0.7177136828154329,0.0
0.0,0.5079365079365079,107.08310560015519,0.7350275497888719,0.7350275497888719,0.7350275497888719,0.0
0.0,0.5119047619047619,105.60390291738364,0.7019274405140592,0.7019274405140592,0.7019274405140592,0.0
0.0,0.5158730158730158,103.032826754768,0.6382778859927088,0.6382778859927088,0.6382778859927088,0.0
0.0,0.5198412698412698,102.50682194247108,0.6244697524555003,0.6244697524555003,0.6244697524555003,0.0
0.0,0.5238095238095237,101.0575824615617,0.5848199960755736,0.5848199960755736,0.5848199960755736,0.0
0.0,0.5277777777777778,103.1596099292914,0.6419870137490552,0.6419870137490552,0.6419870137490552,0.0
0.0,0.5317460317460317,102.97836053440221,0.6373199196815738,0.6373199196815738,0.6373199196815738,0.0
0.0,0.5357142857142857,102.67524692993244,0.6293024804461615,0.6293024804461615,0.6293024804461615,0.0
0.0,0.5396825396825397,100.72864728453648,0.5750307017397267,0.5750307017397267,0.5750307017397267,0.0
0.0,0.5436507936507936,101.1113400030873,0.5858606286839418,0.5858606286839418,0.5858606286839418,0.0
0.0,0.5476190476190476,100.34393217398203,0.5635761295209083,0.5635761295209083,0.5635761295209083,0.0
0.0,0.5515873015873015,101.7964604680724,0.6052167839664042,0.6052167839664042,0.6052167839664042,0.0
0.0,0.5555555555555556,102.90557478220026,0.6361345702291219,0.6361345702291219,0.6361345702291219,0.0
0.0,0.5595238095238095,101.92880111688388,0.6089807094142273,0.6089807094142273,0.6089807094142273,0.0
0.0,0.5634920634920635,102.48200039787324,0.6246357835680685,0.6246357835680685,0.6246357835680685,0.0
0.0,0.5674603174603174,99.050126827421,0.523514440503716,0.523514440503716,0.523514440503716,0.0
0.0,0.5714285714285714,98.23684078075941,0.49803159357086607,0.49803159357086607,0.49803159357086607,0.0
0.0,0.5753968253968254,99.81518403603768,0.5462247216685054,0.5462247216685054,0.5462247216685054,0.0
0.0,0.5793650793650793,100.83788184553015,0.5769272554100768,0.5769272554100768,0.5769272554100768,0.0
0.0,0.5833333333333333,101.08495276493503,0.5842144065799502,0.5842144065799502,0.5842144065799502,0.0
0.0,0.5873015873015872,101.07171331758042,0.5837327551731868,0.5837327551731868,0.5837327551731868,0.0
0.0,0.5912698412698413,99.30383536919948,0.5291876219152427,0.5291876219152427,0.5291876219152427,0.0
0.0,0.5952380952380952,97.64010534515258,0.4758998127682629,0.4758998127682629,0.4758998127682629,0.0
0.0,0.5992063492063492,97.93863810174031,0.4848883264510055,0.4848883264510055,0.4848883264510055,0.0
0.0,0.6031746031746031,100.16066737957033,0.555168442943292,0.555168442943292,0.555168442943292,0.0
0.0,0.6071428571428571,97.4815397785874,0.46886624973750873,0.46886624973750873,0.46886624973750873,0.0
0.0,0.611111111111111,98.27987997440664,0.4942576413473433,0.4942576413473433,0.4942576413473433,0.0
0.0,0.615079365079365,99.05069461581597,0.5188284273360858,0.5188284273360858,0.5188284273360858,0.0
0.0,0.6190476190476191,100.26817076043378,0.5576990092346892,0.5576990092346892,0.5576990092346892,0.0
0.0,0.623015873015873,99.19969313156383,0.5228720937160756,0.5228720937160756,0.5228720937160756,0.0
0.0,0.626984126984127,98.5642040364807,0.5014977927211345,0.5014977927211345,0.5014977927211345,0.0
0.0,0.6309523809523809,98.6444344955821,0.5036562498981834,0.5036562498981834,0.5036562498981834,0.0
0.0,0.6349206349206349,97.39880810755291,0.4612606510583753,0.4612606510583753,0.4612606510583753,0.0
0.0,0.6388888888888888,95.92479310853774,0.4106025137170197,0.4106025137170197,0.4106025137170197,0.0
0.0,0.6428571428571428,94.88572795242575,0.37459880235030174,0.37459880235030174,0.37459880235030174,0.0
0.0,0.6468253968253967,94.82359071143006,0.37132898023684907,0.37132898023684907,0.37132898023684907,0.0
0.0,0.6507936507936507,95.29420015207558,0.38604197041483496,0.38604197041483496,0.38604197041483496,0.0
0.0,0.6547619047619048,95.28736239621107,0.3846573754378221,0.3846573754378221,0.3846573754378221,0.0
0.0,0.6587301587301587,95.40287185101863,0.38745400601873103,0.38745400601873103,0.38745400601873103,0.0
0.0,0.6626984126984127,94.60688749091423,0.3589989974038617,0.3589989974038617,0.3589989974038617,0.0
0.0,0.6666666666666666,93.77391016837325,0.3295190899637461,0.3295190899637461,0.3295190899637461,0.0
0.0,0.6706349206349206,95.1298965499473,0.3744099426973847,0.3744099426973847,0.3744099426973847,0.0
0.0,0.6746031746031745,95.08686017414874,0.37164491550163337,0.37164491550163337,0.37164491550163337,0.0
0.0,0.6785714285714285,95.01080019481104,0.36769198107043477,0.36769198107043477,0.36769198107043477,0.0
0.0,0.6825396825396826,96.1607228696462,0.4072101470041309,0.4072101470041309,0.4072101470041309,0.0
0.0,0.6865079365079365,97.69625087050294,0.46169939981515506,0.46169939981515506,0.46169939981515506,0.0
0.0,0.6904761904761905,99.29914850011896,0.5191662863353809,0.5191662863353809,0.5191662863353809,0.0
0.0,0.6944444444444444,99.83200791594193,0.5379799674605186,0.5379799674605186,0.5379799674605186,0.0
0.0,0.6984126984126984,99.7924879600703,0.5362223359284191,0.5362223359284191,0.5362223359284191,0.0
0.0,0.7023809523809523,100.18075087420843,0.5499994996479189,0.5499994996479189,0.5499994996479189,0.0
0.0,0.7063492063492063,100.43122828374172,0.558861146624761,0.558861146624761,0.558861146624761,0.0
0.0,0.7103174603174602,102.2394788074576,0.6230090523292209,0.6230090523292209,0.6230090523292209,0.0
0.0,0.7142857142857142,102.64079151503383,0.6371017452797483,0.6371017452797483,0.6371017452797483,0.0
0.0,0.7182539682539683,103.49431488573295,0.6662916773387251,0.6662916773387251,0.6662916773387251,0.0
0.0,0.7222222222222222,103.48259410192475,0.666465565852271,0.666465565852271,0.666465565852271,0.0
0.0,0.7261904761904762,105.31071286087523,0.725444858799493,0.725444858799493,0.725444858799493,0.0
0.0,0.7301587301587301,102.64642344730355,0.6388203175582254,0.6388203175582254,0.6388203175582254,0.0
0.0,0.7341269841269841,103.16424807707851,0.6573366710561132,0.6573366710561132,0.6573366710561132,0.0
0.0,0.738095238095238,104.17555269862844,0.6921736245737367,0.6921736245737367,0.6921736245737367,0.0
0.0,0.742063492063492,102.68971490854288,0.6416517785651082,0.6416517785651082,0.6416517785651082,0.0
0.0,0.746031746031746,105.53487016440431,0.737376315768038,0.737376315768038,0.737376315768038,0.0
0.0,0.75,105.36034054453583,0.7330820081484253,0.7330820081484253,0.7330820081484253,0.0
0.0,0.753968253968254,105.17166351506731,0.7282372891812043,0.7282372891812043,0.7282372891812043,0.0
0.0,0.7579365079365079,103.77574824331171,0.6826235604749299,0.6826235604749299,0.6826235604749299,0.0
0.0,0.7619047619047619,104.95500490551774,0.7234590807010012,0.7234590807010012,0.7234590807010012,0.0
0.0,0.7658730158730158,105.27730327253093,0.7350626330377541,0.7350626330377541,0.7350626330377541,0.0
0.0,0.7698412698412698,104.52043167814738,0.7111463387516855,0.7111463387516855,0.7111463387516855,0.0
0.0,0.7738095238095237,104.84376706190544,0.7232095413965419,0.7232095413965419,0.7232095413965419,0.0
0.0,0.7777777777777777,105.77926228554632,0.7549675036933947,0.7549675036933947,0.7549675036933947,0.0
0.0,0.7817460317460317,107.43652478099798,0.8054174331953732,0.8054174331953732,0.8054174331953732,0.0
0.0,0.7857142857142857,107.75502831107538,0.8157611351549818,0.8157611351549818,0.8157611351549818,0.0
0.0,0.7896825396825397,106.47847535155772,0.7811578713536729,0.7811578713536729,0.7811578713536729,0.0
0.0,0.7936507936507936,105.75957434826712,0.7602859353666269,0.7602859353666269,0.7602859353666269,0.0
0.0,0.7976190476190476,102.76547848273559,0.6529015561690747,0.6529015561690747,0.6529015561690747,0.0
0.0,0.8015873015873015,101.84623864006717,0.6157880047131683,0.6157880047131683,0.6157880047131683,0.0
0.0,0.8055555555555555,102.82010885857413,0.6567230512820703,0.6567230512820703,0.6567230512820703,0.0
0.0,0.8095238095238095,103.44980505269466,0.6829085125245863,0.6829085125245863,0.6829085125245863,0.0
0.0,0.8134920634920635,103.33390122318178,0.6794161070369469,0.6794161070369469,0.6794161070369469,0.0
