t_index,t,seed,N,M,dt,scheme,RMSE_p,relative_RMSE_p,MAE_p,median_abs_error_p,q05_abs_error_p,q50_abs_error_p,q95_abs_error_p,RMSE_q,relative_RMSE_q,MAE_q,median_abs_error_q,q05_abs_error_q,q50_abs_error_q,q95_abs_error_q,RMSE_Hpi,MAE_Hpi,median_abs_error_Hpi,q05_abs_error_Hpi,q50_abs_error_Hpi,q95_abs_error_Hpi,RMSE_pi_reconstructed,relative_RMSE_pi_reconstructed,MAE_pi_reconstructed,median_abs_error_pi_reconstructed,q05_abs_error_pi_reconstructed,q50_abs_error_pi_reconstructed,q95_abs_error_pi_reconstructed,runtime
0,0.0,0,50,10000,0.02,exact,0.002287316997883204,0.0024531661933515692,0.002287316997883204,0.002287316997883204,0.002287316997883204,0.002287316997883204,0.002287316997883204,0.010246037255337237,0.03662986260594896,0.010246037255337237,0.010246037255337237,0.010246037255337237,0.010246037255337237,0.010246037255337237,0.001911968431194469,0.0019119684311944688,0.001911968431194469,0.001911968431194469,0.001911968431194469,0.001911968431194469,0.0012265830966757816,0.0024531661933515636,0.0012265830966757818,0.0012265830966757818,0.0012265830966757818,0.0012265830966757818,0.0012265830966757818,0.1351940000022296
12,0.24,0,50,10000,0.02,exact,0.0022839577591848756,0.0024370353822901025,0.001867860077018377,0.0016765477959523323,0.0001681776112770539,0.0016765477959523323,0.004315740275237144,0.04197014553656428,0.1492770305713768,0.03476687098896956,0.03182448497321627,0.003250586622892848,0.03182448497321627,0.07802328065206576,0.008530946913198549,0.007065252980536544,0.006464940481395013,0.0006552261428478927,0.006464940481395013,0.015863600546927377,0.0010503322724415179,0.0020723417485513005,0.0009226403763269951,0.0009351173777918942,0.00011720867487085007,0.0009351173777918942,0.001735229096136494,0.1351940000022296
25,0.5,0,50,10000,0.02,exact,0.0012110722818090348,0.0012855416850492709,0.0012083474890912085,0.0011995116059921318,0.001091121651249949,0.0011995116059921318,0.001353323984276933,0.09305571257913904,0.32925917345950273,0.07106040077683651,0.056104991159262665,0.005140041149487558,0.056104991159262665,0.18927562119764244,0.018578581792221317,0.014190172895381159,0.011191205667294563,0.0010449847904441761,0.011191205667294563,0.03777392409631812,0.0007173590359821753,0.0013952250825710307,0.0007005764829849619,0.0006820896239423946,0.0004855456888752413,0.0006820896239423946,0.0009808995572400114,0.1351940000022296
38,0.76,0,50,10000,0.02,exact,0.0009837826426552718,0.0010378717680543854,0.0009218818737581629,0.0008787401428407837,0.0004470314497068251,0.0008787401428407837,0.001553847880642134,0.0883585842455747,0.31072202360412177,0.07054290803244033,0.06143491827340865,0.005872395418900192,0.06143491827340865,0.16441249079913994,0.01768401629804501,0.014112236104569763,0.012277655711564604,0.001163905820745729,0.012277655711564604,0.03290785065944022,0.0005033702534479066,0.0009649824636680868,0.0005028357945906969,0.0005117754805232799,0.00045892596359473623,0.0005117754805232799,0.0005175891115570735,0.1351940000022296
49,0.98,0,50,10000,0.02,exact,0.0008828245208430092,0.0009268853746297619,0.0006531472015978365,0.0004933601244405117,4.660408087690526e-05,0.0004933601244405117,0.001849567271968455,0.2230876152172445,0.7807389536803412,0.1650670356400374,0.12495161053943646,0.01191380050146206,0.12495161053943646,0.4672767806236736,0.04456455455248407,0.032974219640833975,0.024960743218161448,0.0023802988211666172,0.024960743218161448,0.09334438208841662,0.00045294919749279774,0.0008574234052533583,0.00035222745749413376,0.00031092581932329333,3.314527871075002e-05,0.00031092581932329333,0.0007903717145225971,0.1351940000022296
0,0.0,0,50,20000,0.02,exact,0.0013321610806510398,0.001428753657746698,0.0013321610806510398,0.0013321610806510398,0.0013321610806510398,0.0013321610806510398,0.0013321610806510398,0.0013247141315372304,0.004735889146322514,0.0013247141315372302,0.0013247141315372302,0.0013247141315372302,0.0013247141315372302,0.0013247141315372302,0.0001850131614683989,0.0001850131614683989,0.0001850131614683989,0.0001850131614683989,0.0001850131614683989,0.0001850131614683989,0.0007143768288733754,0.001428753657746751,0.0007143768288733754,0.0007143768288733754,0.0007143768288733754,0.0007143768288733754,0.0007143768288733754,0.4035925999924075
12,0.24,0,50,20000,0.02,exact,0.001126729864539108,0.0012016789010449644,0.0010499250530119281,0.0010244389549477484,0.00042895348059752145,0.0010244389549477484,0.001761086915466736,0.014427136005042095,0.051289386170827754,0.01125003901352698,0.009150076326409531,0.0008621132918001068,0.009150076326409531,0.028762743557893728,0.0028407330020401834,0.002216853174647568,0.0018119594882623456,0.0001688810124550782,0.0018119594882623456,0.005649384575985612,0.0005579323501774875,0.0011010236873275998,0.0005454267886121829,0.0005631887615095144,0.0003269722714331513,0.0005631887615095144,0.0007047578781362168,0.4035925999924075
25,0.5,0,50,20000,0.02,exact,0.0009493597739114884,0.0010071432618238472,0.0007892929484684917,0.0007235047934653904,6.942267450654739e-05,0.0007235047934653904,0.0017372156279787552,0.07495793580457899,0.2650676875103014,0.060407664525454596,0.05288978045537436,0.0051470959403979,0.05288978045537436,0.14076845706043553,0.0150451727156428,0.012126363845228295,0.010613206281415953,0.0010331548363572707,0.010613206281415953,0.028228810430771422,0.0007131104139406746,0.0013870565486577547,0.0005229566146111916,0.00037669144195578985,3.302304210288099e-05,0.00037669144195578985,0.0014945820236665183,0.4035925999924075
38,0.76,0,50,20000,0.02,exact,0.0007859531210394785,0.0008278873765583436,0.0007181001830500259,0.0007445935699849082,0.00014270603249686432,0.0007445935699849082,0.0012033715943581603,0.029481921487379922,0.10351639719429705,0.024340624066541295,0.022169112105746014,0.0022206073145830843,0.022169112105746014,0.05311301498786305,0.0058590646750204,0.004834579914663046,0.004404315843129725,0.0004454929349945409,0.004404315843129725,0.010557522581080364,0.000639126672009645,0.0012256964247638119,0.0005105291835736717,0.00043389555237055566,4.830043925613259e-05,0.00043389555237055566,0.0012373155233514506,0.4035925999924075
49,0.98,0,50,20000,0.02,exact,0.0003268628795455813,0.0003425533912769305,0.00029481718982097226,0.0002745669697597486,0.00010435575486348326,0.0002745669697597486,0.0005532788470944291,0.0806921961925451,0.28188563854633253,0.07395617499544486,0.06932873495479717,0.030412881298130186,0.06932873495479717,0.13305139058208176,0.016118839549803157,0.014773546431557802,0.013849272972773857,0.006076314914334229,0.013849272972773857,0.02657708138559069,0.00015879135383862618,0.00030075283778620564,0.00015756107826644147,0.0001644212459475658,0.00011918295243078525,0.0001644212459475658,0.0001730518159749478,0.4035925999924075
0,0.0,0,50,40000,0.02,exact,0.0012090144196308381,0.001296677856308392,0.0012090144196308383,0.0012090144196308383,0.0012090144196308383,0.0012090144196308383,0.0012090144196308383,0.025637128336558287,0.09165343294941024,0.025637128336558287,0.02563712833655829,0.02563712833655829,0.02563712833655829,0.02563712833655829,0.005054884802133821,0.0050548848021338185,0.00505488480213382,0.00505488480213382,0.00505488480213382,0.00505488480213382,0.0006483389281541906,0.0012966778563083814,0.0006483389281541907,0.0006483389281541907,0.0006483389281541907,0.0006483389281541907,0.0006483389281541907,0.6910592000058386
12,0.24,0,50,40000,0.02,exact,0.0013297183660042938,0.0014181505201482036,0.001068336777208817,0.0009212958349177902,8.458998442907317e-05,0.0009212958349177902,0.0025665612004817525,0.004520780072604661,0.016071439826026122,0.003718882202216926,0.0033249712429327116,0.0003113992355918499,0.0033249712429327116,0.008441738355969132,0.0009264997066853379,0.0007576289995252015,0.0006701861265238085,6.501562013985184e-05,0.0006701861265238085,0.0017454696885681148,0.00060931684359035,0.0012024241276104223,0.0005272958011256998,0.0005205372838819611,5.710445542070897e-05,0.0005205372838819611,0.0010347614731415484,0.6910592000058386
25,0.5,0,50,40000,0.02,exact,0.0009575064861219435,0.0010149190566464419,0.000925787821968994,0.0009023169721765756,0.0005688278462767926,0.0009023169721765756,0.0013629966012347998,0.07045316235199549,0.24892523134629863,0.057608437124034344,0.0512747404211199,0.005052647896186158,0.0512747404211199,0.13110536717835417,0.014095414740149106,0.011529802889302658,0.0102645920341818,0.0010192279501878264,0.0102645920341818,0.026217565557090126,0.0005070457707829315,0.0009864570585594197,0.0005069512598851818,0.0005100405115384121,0.00048714699436813724,0.0005100405115384121,0.000516361906099494,0.6910592000058386
38,0.76,0,50,40000,0.02,exact,0.000728347521099324,0.0007673146237929349,0.0006506359186097947,0.0006098769693734796,0.0001919033412518867,0.0006098769693734796,0.0012453636854081846,0.005997571620313068,0.021061486347275938,0.005799887679253436,0.005985840112812307,0.002989949514902174,0.005985840112812307,0.007958761874457782,0.001232478503200664,0.0011984688325428628,0.0012336852595133292,0.0006723106669233863,0.0012336852595133292,0.0016032665753666683,0.000344198448176484,0.0006600586825761445,0.0003372503181895152,0.00035559896944142855,0.0001990685728313013,0.00035559896944142855,0.00041119703156632933,0.6910592000058386
49,0.98,0,50,40000,0.02,exact,0.00030924324735377115,0.00032424644523193616,0.00023576673980308467,0.00018398094825011757,1.5514779569475445e-05,0.00018398094825011757,0.0006284145141489893,0.07715135377937943,0.2696480566874182,0.059043515825407726,0.046530413499954404,0.0040158773822899325,0.046530413499954404,0.15621066932318714,0.01541171786061142,0.011794560364828973,0.009295095966771576,0.0008020345912929768,0.009295095966771576,0.03120442899378851,0.0001315513204311414,0.0002491631339473047,0.00011458254990140499,0.00011726025739483559,1.3622572640592523e-05,0.00011726025739483559,0.0002022003456026572,0.6910592000058386
0,0.0,0,50,80000,0.02,exact,0.0001765079241894396,0.00018930619274937297,0.0001765079241894396,0.0001765079241894396,0.0001765079241894396,0.0001765079241894396,0.0001765079241894396,0.02440470077635282,0.08724747081233178,0.024404700776352817,0.024404700776352817,0.024404700776352817,0.024404700776352817,0.024404700776352817,0.004891530630721945,0.004891530630721946,0.004891530630721945,0.004891530630721945,0.004891530630721945,0.004891530630721945,9.46530963745751e-05,0.00018930619274915022,9.465309637457509e-05,9.465309637457509e-05,9.465309637457509e-05,9.465309637457509e-05,9.465309637457509e-05,1.3177226000116207
12,0.24,0,50,80000,0.02,exact,0.0006354516649724755,0.0006773380135567139,0.0005087714127434879,0.00043608494942770637,4.0874241476918094e-05,0.00043608494942770637,0.001219106397579345,0.007263615728002035,0.025808010898082014,0.007160470540915651,0.00707776221025766,0.005311692785091172,0.00707776221025766,0.009298454514119875,0.001451522985509837,0.0014368143883781734,0.00142283815312896,0.00112440386535889,0.00142283815312896,0.0017980956127823953,0.00038670648852351955,0.0007632790412580401,0.00029378247442968133,0.00023396308504852747,2.1625919670367757e-05,0.00023396308504852747,0.000787997497676779,1.3177226000116207
25,0.5,0,50,80000,0.02,exact,0.00014897119341120786,0.00015778234213536377,0.00011804256919776109,0.00010075928069980256,9.350981871403265e-06,0.00010075928069980256,0.00028440983634333563,0.05903376545380592,0.20841805195317828,0.055672479689506824,0.057478613495278746,0.019347201290728623,0.057478613495278746,0.0849699355816998,0.011803349349154444,0.011133496998447708,0.011494468380074518,0.00388286066943146,0.011494468380074518,0.016980672817466413,9.629324153633142e-05,0.00018738692192596124,7.100371116644791e-05,5.5067994668367426e-05,5.071396749872783e-06,5.5067994668367426e-05,0.0002001625114751216,1.3177226000116207
38,0.76,0,50,80000,0.02,exact,0.00023990857714578523,0.0002524047274138855,0.0001805977706747765,0.00014077714570498445,1.3290610821248272e-05,0.00014077714570498445,0.0004922724324641582,0.021776072192619428,0.07636775129529463,0.021755271900618392,0.021636381975829566,0.020427278216442156,0.021636381975829566,0.02349227641188345,0.004360525814270406,0.004355755179310149,0.004330277316046141,0.004071168898672766,0.004330277316046141,0.0047279916283245365,0.0001311072402171844,0.00025152557827014667,0.0001000159467659769,8.463360400190467e-05,8.379981322970133e-06,8.463360400190467e-05,0.00024580799805969393,1.3177226000116207
49,0.98,0,50,80000,0.02,exact,0.00024241128137600116,0.0002536076674162547,0.00019267435944020497,0.00016368768190450078,1.5434401131209085e-05,0.00016368768190450078,0.0004740509903034096,0.061047619559143944,0.21289086753482211,0.04901511646745225,0.04224490636537513,0.0041692408544885306,0.04224490636537513,0.11826978205949627,0.01219498303306758,0.009791469700846184,0.008439163384298561,0.0008333498582882009,0.008439163384298561,0.023625513352481038,0.00010192720561613932,0.00019319883960095354,9.297058555672018e-05,9.947309854047015e-05,1.5602813283122075e-05,9.947309854047015e-05,0.00014831940903296538,1.3177226000116207
