lambda,frequency,strategy,band,rmse,mae,pnl_mean,mean_total_cost,mean_turnover,mean_n_rebalances
0.002,126,optimized_no_trade_band,0.05,1.0339264689762782,0.806813677788894,-0.5989301178713877,0.5718972487293142,2.852378552841386,29.34315
0.002,252,delta_bs,0.0,1.2578996960816644,1.1115630382638115,-1.110586901350538,1.0980679902719743,5.456529227687245,247.7692
0.002,252,no_trade_band,0.0,1.2578996960816644,1.1115630382638115,-1.110586901350538,1.0980679902719743,5.456529227687245,247.7692
0.002,252,no_trade_band,0.02,1.1197149452931483,0.9472727962319176,-0.9374873431882216,0.9216730115715523,4.594253761321508,98.56275
0.002,252,no_trade_band,0.05,1.0024052695022034,0.7980994930376293,-0.6814841194637669,0.6527453787373776,3.2579631144011088,37.92765
0.002,252,no_trade_band,0.1,1.2863876656572848,0.995117013020926,-0.5243177162795666,0.4501275926587489,2.247292262144998,14.38395
0.002,252,no_trade_band,0.2,2.2221924482835,1.721358989072053,-0.4333375993885238,0.3014185390450059,1.4963199312614033,5.0601
0.002,252,optimized_no_trade_band,0.05,1.0024052695022034,0.7980994930376293,-0.6814841194637669,0.6527453787373776,3.2579631144011088,37.92765
0.01,12,delta_bs,0.0,2.651387843990669,2.070324679949864,-1.6552975221382396,1.6005373047762366,1.5873267392197816,11.9974
0.01,12,no_trade_band,0.0,2.651387843990669,2.070324679949864,-1.6552975221382396,1.6005373047762366,1.5873267392197816,11.9974
0.01,12,no_trade_band,0.02,2.64714447944866,2.0647089917427377,-1.6415035341958832,1.58338886762693,1.5710755536000185,9.67215
0.01,12,no_trade_band,0.05,2.644931681325674,2.057346257117797,-1.5895554922022472,1.5230415030535582,1.5123940916542464,7.6769
0.01,12,no_trade_band,0.1,2.712584960212572,2.110380926532256,-1.478028478000546,1.3866126515977537,1.3778165415839838,5.3412
0.01,12,no_trade_band,0.2,3.2886317378214955,2.553642794154596,-1.3416192346553608,1.1358214032179264,1.1315595965018928,2.97025
0.01,12,optimized_no_trade_band,0.05,2.644931681325674,2.057346257117797,-1.5895554922022472,1.5230415030535582,1.5123940916542464,7.6769
0.01,26,delta_bs,0.0,2.6534119834144594,2.232510410447977,-2.166559081156485,2.126560913136343,2.111873383251719,25.9243
0.01,26,no_trade_band,0.0,2.6534119834144594,2.232510410447977,-2.166559081156485,2.126560913136343,2.111873383251719,25.9243
0.01,26,no_trade_band,0.02,2.622186428736154,2.193162408595919,-2.120886564877462,2.076571244382367,2.0640408793693448,18.44955
0.01,26,no_trade_band,0.05,2.5415449133665025,2.088724146929139,-1.97244849398988,1.9173378817134037,1.90786057259445,12.85505
