gamma,y,x,V_num_t0,V_exact_t0,Vx_num_t0,Vxx_num_t0,pi_num_t0,pi_exact_t0
3.0,-0.6000000000000001,0.5488116360940264,-1.5478073042844211,-1.5478282500623561,5.641423701748002,-30.841116505802987,0.2743783789743729,0.27440581804701314
3.0,-0.585,0.5571058618121739,-1.5020626852365735,-1.5020830119732165,5.393186852824644,-29.045069701303984,0.27852507714497826,0.2785529309060869
3.0,-0.5700000000000003,0.565525438699537,-1.4576700239977116,-1.457689749988499,5.155873050355742,-27.35361652016946,0.2827344446329797,0.28276271934976843
3.0,-0.5550000000000002,0.574072261196436,-1.4145893641761262,-1.4146085071757801,4.929001652791241,-25.76066590395912,0.28700742856381534,0.2870361305982179
3.0,-0.54,0.5827482523739896,-1.3727819302699458,-1.3728005075084584,4.712113168019625,-24.26048150986072,0.2913449903769043,0.29137412618699476
3.0,-0.5249999999999999,0.5915553643668151,-1.3322100927665685,-1.3322281209647084,4.504768322739378,-22.84766105366479,0.2957481060419184,0.2957776821834075
3.0,-0.5100000000000002,0.6004955788122658,-1.2928373342735597,-1.2928548296579239,4.306547172780348,-21.517116855698596,0.3002177662784641,0.30024778940613284
3.0,-0.4950000000000001,0.6095709072963093,-1.254628216650536,-1.254645194968149,4.117048252573441,-20.264057519682314,0.30475497677905206,0.30478545364815457
3.0,-0.48,0.6187833918061408,-1.2175483491124428,-1.2175648256449374,3.9358877620456023,-19.083970678547086,0.3093607584350929,0.30939169590307036
3.0,-0.4650000000000003,0.6281351051896407,-1.1815643572755297,-1.181580346852898,3.7626987892933026,-17.972606745019522,0.3140361475668521,0.3140675525948203
3.0,-0.4500000000000002,0.6376281516217732,-1.1466438531181518,-1.1466593701320917,3.597130567460839,-16.92596360851587,0.318782196156711,0.31881407581088655
3.0,-0.43500000000000005,0.6472646670780345,-1.112755405829362,-1.1127704642462342,3.4388477643174324,-15.940272223236946,0.3235999720855879,0.3236323335390172
3.0,-0.41999999999999993,0.6570468198150569,-1.0798685135190622,-1.0798831268924571,3.287529803094857,-15.011983035523462,0.3284905593733461,0.3285234099075284
3.0,-0.40500000000000025,0.6669768108584743,-1.0479535757642406,-1.0479677572471826,3.1428702132099375,-14.137753201624648,0.33345505842280215,0.3334884054292371
3.0,-0.3900000000000001,0.6770568744981647,-1.016981866966596,-1.0169956293233755,3.0045760095569594,-13.314434549855923,0.33849458626721834,0.33852843724908227
3.0,-0.375,0.6872892787909722,-0.9869255104975561,-0.9869388661152237,2.8723670991126102,-12.53906224378314,0.3436102768215455,0.34364463939548606
3.0,-0.3600000000000003,0.6976763260710308,-0.9577574536074348,-0.9577704145069489,2.745975713651903,-11.8088441055995,0.3488032811377982,0.34883816303551535
3.0,-0.3450000000000002,0.7082203534677999,-0.9294514430761275,-0.9294640209231714,2.625145867426098,-11.121150561279746,0.35407476766378926,0.3541101767338999
3.0,-0.33000000000000007,0.7189237334319262,-0.901982001583443,-0.9019942076989285,2.509632838703904,-10.473505171265797,0.3594259225062181,0.35946186671596303
3.0,-0.31499999999999995,0.7297888742690568,-0.8753244047777958,-0.8753362501480506,2.399202674126572,-9.863575712608194,0.3648579496976596,0.36489443713452835
3.0,-0.30000000000000027,0.7408182206817177,-0.8494546590226183,-0.8494661543092759,2.2936317148722543,-9.289165780457528,0.370372071466995,0.37040911034085877
3.0,-0.28500000000000014,0.7520142543193825,-0.8243494798004708,-0.8243606353500644,2.1927061436703936,-8.748206878620245,0.3759695285148921,0.37600712715969115
3.0,-0.27,0.7633794943368531,-0.7999862707554033,-0.7999970966086802,2.096221551748853,-8.238750970740899,0.38165158029294255,0.38168974716842646
3.0,-0.2549999999999999,0.774916497961081,-0.7763431033547088,-0.776353609255668,2.003982524836193,-7.758963465275795,0.3874195052866433,0.3874582489805404
3.0,-0.2400000000000002,0.7866278610665532,-0.7533986971517649,-0.7534088925564272,1.9158022473809473,-7.307116608973442,0.3932746013033914,0.3933139305332765
3.0,-0.2250000000000001,0.798516218759377,-0.7311324006321953,-0.7311422947171125,1.8315021241863771,-6.881583265095901,0.3992181857645923,0.39925810937968836
3.0,-0.20999999999999996,0.8105842459701871,-0.7095241726261123,-0.7095337742966287,1.750911418694151,-6.480831053974328,0.40525159600181565,0.40529212298509343
3.0,-0.19500000000000028,0.8228346580560182,-0.6885545642697113,-0.6885638821679789,1.6738669071844248,-6.10341683478501,0.41137618955777544,0.411417329028009
3.0,-0.18000000000000016,0.8352702114112719,-0.6682047014999806,-0.6682137440127364,1.6002125481920566,-5.74798150868082,0.4175933444919806,0.41763510570563583
3.0,-0.16500000000000004,0.8478937040879158,-0.6484562680667705,-0.648465043332886,1.5297991664693473,-5.4132451245725415,0.4239044596904748,0.42394685204395777
3.0,-0.1499999999999999,0.8607079764250579,-0.6292914890469312,-0.6293000049647388,1.4624841508550879,-5.09800226992113,0.43031095518060053,0.43035398821252885
3.0,-0.13500000000000023,0.8737159116880342,-0.6106931148456841,-0.6107013790800853,1.3981311654382753,-4.801117729944436,0.4368142724510285,0.436857955844017
3.0,-0.1200000000000001,0.8869204367171574,-0.5926444056708202,-0.5926524256601831,1.3366098734313656,-4.521522399623824,0.44341587477568406,0.4434602183585786
3.0,-0.10499999999999998,0.9003245225862656,-0.5751291164657575,-0.5751368994286137,1.277795673193645,-4.258209433772657,0.4501172475427844,0.4501622612931327
3.0,-0.0900000000000003,0.913931185271228,-0.558131482287894,-0.558139035229436,1.2215694458703479,-4.01023062130087,0.4569198985895549,0.45696559263561387
3.0,-0.07500000000000018,0.9277434863285527,-0.5416362041190951,-0.5416435338374794,1.167817314136311,-3.7766929706348438,0.4638253585411285,0.46387174316427626
3.0,-0.06000000000000005,0.9417645335842486,-0.5256284350955437,-0.5256355481880122,1.1164304115553958,-3.5567554939814445,0.4708351811550839,0.4708822667921242
3.0,-0.04499999999999993,0.9559974818331,-0.5100937671445627,-0.5101006700133779,1.0673046620888356,-3.3496261788618438,0.47795094367134294,0.47799874091654987
3.0,-0.03000000000000025,0.9704455335485079,-0.4950182180163738,-0.4950249168745843,1.0203405693056657,-3.1545591360169354,0.4851742471662708,0.48522276677425386
3.0,-0.015000000000000124,0.9851119396030625,-0.4803882186991317,-0.48039471957616176,0.9754430148683682,-2.9708519133952014,0.4925067169135308,0.49255596980153116
3.0,0.0,1.0,-0.46619060120589645,-0.46619690995297414,0.9325210658858493,-2.797842966566343,0.4999500027499507,0.4999999999999999
